չորեքշաբթի,среда,Числительные и время,LL-Q8785_(hye)-Vahagn_Petrosyan-չորեքշաբթի.wav.ogg,
հինգշաբթի,четверг,Числительные и время,LL-Q8785_(hye)-Vahagn_Petrosyan-հինգշաբթի.wav.ogg,
ուրբաթ,пятница,Числительные и время,LL-Q8785_(hye)-Vahagn_Petrosyan-ուրբաթ.wav.ogg,
շաբաթ,суббота / неделя,Числительные и время,LL-Q8785_(hye)-Vahagn_Petrosyan-շաբաթ.wav.ogg,
հունվար,январь,Числительные и время,LL-Q8785_(hye)-Vahagn_Petrosyan-հունվար.wav.ogg,
փետրվար,февраль,Числительные и время,LL-Q8785_(hye)-Vahagn_Petrosyan-փետրվար.wav.ogg,
մարտ,март,Числительные и время,LL-Q8785_(hye)-Vahagn_Petrosyan-մարտ.wav.ogg,
ապրիլ,апрель,Числительные и время,,
մայիս,май,Числительные и время,LL-Q8785_(hye)-Vahagn_Petrosyan-մայիս.wav.ogg,
հունիս,июнь,Числительные и время,LL-Q8785_(hye)-Vahagn_Petrosyan-հունիս.wav.ogg,
հուլիս,июль,Числительные и время,LL-Q8785_(hye)-Vahagn_Petrosyan-հուլիս.wav.ogg,
օգոստոս,август,Числительные и время,LL-Q8785_(hye)-Vahagn_Petrosyan-օգոստոս.wav.ogg,
սեպտեմբեր,сентябрь,Числительные и время,LL-Q8785_(hye)-Vahagn_Petrosyan-սեպտեմբեր.wav.ogg,
հոկտեմբեր,октябрь,Числительные и время,,
նոյեմբեր,ноябрь,Числительные и время,LL-Q8785_(hye)-Vahagn_Petrosyan-նոյեմբեր.wav.ogg,
դեկտեմբեր,декабрь,Числительные и время,LL-Q8785_(hye)-Vahagn_Petrosyan-դեկտեմբեր.wav.ogg,
առաջին,первый,Числительные и время,,
երկրորդ,второй,Числительные и время,,
երրորդ,третий,Числительные и время,,
չորրորդ,четвёртый,Числительные и время,,
հինգերորդ,пятый,Числительные и время,,
վեցերորդ,шестой,Числительные и время,,
յոթերորդ,седьмой,Числительные и время,,
ութերորդ,восьмой,Числительные и время,,
իններորդ,девятый,Числительные и время,,
տասերորդ,десятый,Числительные и время,,
հարյուրերորդ,сотый,Числительные и время,,
հազարերորդ,тысячный,Числительные и время,,
ծանոթանալ,познакомиться,Уроки 1-5,anyuta_ծանոթանալ.ogg,
շատ ուրախ եմ,очень рад,Уроки 1-5,anyuta_շատ ուրախ եմ.ogg,
շատ հաճելի է,очень приятно,Уроки 1-5,anyuta_շատ հաճելի է.ogg,
ինձ էլ,мне тоже,Уроки 1-5,anyuta_ինձ էլ.ogg,
ես էլ,я тоже,Уроки 1-5,anyuta_ես էլ.ogg,
իմ,мой,Уроки 1-5,anyuta_իմ.ogg,
միս,мясо,Уроки 1-5,anyuta_միս.ogg,
դու,ты,Уроки 1-5,LL-Q8785_(hye)-Vahagn_Petrosyan-դու.wav.ogg,
դաս,урок,Уроки 1-5,anyuta_դաս.ogg,
նա,он/она,Уроки 1-5,LL-Q8785_(hye)-Vahagn_Petrosyan-նա.wav.ogg,
կա,"есть, имеется",Уроки 1-5,anyuta_կա.ogg,
նամակ,письмо,Уроки 1-5,LL-Q8785_(hye)-Vahagn_Petrosyan-նամակ.wav.ogg,
դանակ,нож,Уроки 1-5,anyuta_դանակ.ogg,
մամա,мама,Уроки 1-5,LL-Q8785_(hye)-Vahagn_Petrosyan-մամա.wav.ogg,
մուկ,мышь,Уроки 1-5,LL-Q8785_(hye)-Vahagn_Petrosyan-մուկ.wav.ogg,
կամ,или,Уроки 1-5,anyuta_կամ.ogg,
միակ,единственный,Уроки 1-5,LL-Q8785_(hye)-Vahagn_Petrosyan-միակ.wav.ogg,
դիակ,труп,Уроки 1-5,anyuta_դիակ.ogg,
դիմակ,маска,Уроки 1-5,anyuta_դիմակ.ogg,
հաջողություն,удачи,Уроки 1-5,anyuta_հաջողություն.ogg,
հաջող,пока,Уроки 1-5,anyuta_հաջող.ogg,
ցտեսություն,до свидания,Уроки 1-5,LL-Q8785_(hye)-Vahagn_Petrosyan-ցտեսություն.wav.ogg,
մինչ հանդիպում,до встречи,Уроки 1-5,anyuta_մինչ հանդիպում.ogg,
կարոտ,тоска,Уроки 1-5,anyuta_կարոտ.ogg,
քարոտ,каменистый,Уроки 1-5,anyuta_քարոտ.ogg,
տակ,под,Уроки 1-5,anyuta_տակ.ogg,
տաք,тёплый,Уроки 1-5,anyuta_տաք.ogg,
քնել,спать,Уроки 1-5,anyuta_քնել.ogg,
գնալ,идти,Уроки 1-5,anyuta_գնալ.ogg,
քույր,сестра,Уроки 1-5,anyuta_քույր.ogg,
կույր,слепой,Уроки 1-5,LL-Q8785_(hye)-Vahagn_Petrosyan-կույր.wav.mp3,
ցորեն,пшеница,Уроки 1-5,anyuta_ցորեն.ogg,
օրորոց,колыбель,Уроки 1-5,anyuta_օրորոց.ogg,
օր,день,Уроки 1-5,anyuta_օր.ogg,
օդ,воздух,Уроки 1-5,anyuta_օդ.ogg,
օգուտ,польза,Уроки 1-5,anyuta_օգուտ.ogg,
օրագիր,дневник,Уроки 1-5,anyuta_օրագիր.ogg,
այս,этот,Уроки 1-5,,
այսօր,сегодня,Уроки 1-5,anyuta_այսօր.ogg,
կեսօր,полдень,Уроки 1-5,LL-Q8785_(hye)-Vahagn_Petrosyan-կեսօր.wav.ogg,
ով,кто,Уроки 1-5,anyuta_ով.ogg,
ովքեր,кто (мн. число),Уроки 1-5,anyuta_ովքեր.ogg,
որդի,сын,Уроки 1-5,anyuta_որդի.ogg,
նոր,новый,Уроки 1-5,anyuta_նոր.ogg,
ոզնի,ёж,Уроки 1-5,LL-Q8785_(hye)-Vahagn_Petrosyan-ոզնի.wav.ogg,
մոտ,"близко, близкий, у, к",Уроки 1-5,anyuta_մոտ.ogg,
հոտ,запах,Уроки 1-5,,
մետրո,метро,Уроки 1-5,,
հետո,после,Уроки 1-5,,
ոսկի,золото,Уроки 1-5,,
որ,который,Уроки 1-5,,
որքան,сколько (неисчисляемое),Уроки 1-5,,
ոսկեգույն,цвет золота,Уроки 1-5,,
որովհետեվ,потому что,Уроки 1-5,,
շուտ,рано,Уроки 1-5,,
ուշ,поздно,Уроки 1-5,,
պանիր,сыр,Уроки 1-5,,
խնձոր,яблоко,Уроки 1-5,LL-Q8785_(hye)-Vahagn_Petrosyan-խնձոր.wav.ogg,
ելակ,клубника,Уроки 1-5,,
կարագ,масло,Уроки 1-5,LL-Q8785_(hye)-Vahagn_Petrosyan-կարագ.wav.ogg,
ձու,яйцо,Уроки 1-5,,
կաթ,молоко,Уроки 1-5,,
միս,мясо,Уроки 1-5,LL-Q8785_(hye)-Vahagn_Petrosyan-միս.wav.ogg,
պատրաստել,готовить,Уроки 1-5,,
նախաճաշել,завтракать,Уроки 1-5,,
դպրոց,школа,Уроки 1-5,,
սովորել,учить/учиться,Уроки 1-5,LL-Q8785_(hye)-Vahagn_Petrosyan-սովորել.wav.ogg,
ճաշել,обедать,Уроки 1-5,,
սրճարան,кафе,Уроки 1-5,,
գիշեր,ночь,Уроки 1-5,,
գինի,вино,Уроки 1-5,,
որտեղ,где,Уроки 1-5,,
որտեղից,откуда,Уроки 1-5,,
ուր,куда,Уроки 1-5,,
մուրաբա,варенье,Уроки 1-5,,
սուրճ,кофе,Уроки 1-5,LL-Q8785_(hye)-Vahagn_Petrosyan-սուրճ.wav.ogg,
թեյ,чай,Уроки 1-5,,
դե,ну,Уроки 1-5,,
դեմ,"против, перед",Уроки 1-5,,
կես,половина,Уроки 1-5,,
մեկ,один,Уроки 1-5,,
ուտել,"есть, кушать",Уроки 1-5,,
խմել,пить,Уроки 1-5,LL-Q8785_(hye)-Vahagn_Petrosyan-խմել.wav.ogg,
դնել,положить,Уроки 1-5,,
տուն,дом,Уроки 1-5,,
կին,"жена, женщина",Уроки 1-5,LL-Q8785_(hye)-Vahagn_Petrosyan-կին.wav.ogg,
ամուսին,муж,Уроки 1-5,,
անկախ,"независимый, независимо",Уроки 1-5,,
անկախություն,независимость,Уроки 1-5,,
քսանմեկ,двадцать один,Уроки 1-5,,
բաժակ,чашка,Уроки 1-5,,
կաթնաշոռ,творог,Уроки 1-5,,
եսիմ,не знаю,Уроки 1-5,,
շաբաթը,суббота / неделя,Уроки 1-5,,
ռազմիկ,воин,Уроки 1-5,,
լեռ,гора,Уроки 1-5,LL-Q8785_(hye)-Vahagn_Petrosyan-լեռ.wav.ogg,
սար,гора,Уроки 1-5,,
ձուկ,рыба,Уроки 1-5,,
ձմերուկ,арбуз,Уроки 1-5,,
ձմեռ,зима,Уроки 1-5,,
աշուն,осень,Уроки 1-5,,
ձեռք,рука,Уроки 1-5,,
զբաղված,занят,Уроки 1-5,,
ազատ,свободный,Уроки 1-5,,
ճաշել,обедать,Уроки 1-5,,
հանդիպել,"встретить, встретиться",Уроки 1-5,,
գրադարան,библиотека,Уроки 1-5,,
օտար,иностранный,Уроки 1-5,,
նաև,также,Уроки 1-5,,
ճապոներեն,японский,Уроки 1-5,,
ջիմ,спортзал,Уроки 1-5,,
սովորաբար,обычно,Уроки 1-5,,
հետ,с (послелог),Уроки 1-5,,
կամ,или,Уроки 1-5,,
հանգստանալ ,"отдыхать, успокоиться",Уроки 1-5,,
նայել,смотреть,Уроки 1-5,,
կարդալ,читать,Уроки 1-5,,
զարթնել,просыпаться,Уроки 1-5,,
արև,солнце,Уроки 1-5,,
ճուտ,цыплёнок,Уроки 1-5,LL-Q8785_(hye)-Vahagn_Petrosyan-ճուտ.wav.mp3,
ճահիճ,болото,Уроки 1-5,,
ճանճ,муха,Уроки 1-5,,
ճկուն,гибкий,Уроки 1-5,,
ճաշ,обед,Уроки 1-5,,
ճերմակ,белый,Уроки 1-5,,
ճլվլալ,чирикать,Уроки 1-5,,
ճնճղուկ,воробей,Уроки 1-5,LL-Q8785_(hye)-Vahagn_Petrosyan-ճնճղուկ.wav.ogg,
ճիշտ,правильный,Уроки 1-5,,
չիր,сухофрукты,Уроки 1-5,,
չնչին,незначительный,Уроки 1-5,,
հիշաչար,злопамятный,Уроки 1-5,,
չաչանակ,болтун,Уроки 1-5,,
ջերմ,тёплый,Уроки 1-5,,
ջուր,вода,Уроки 1-5,LL-Q8785_(hye)-Vahagn_Petrosyan-ջուր.wav.ogg,
գարեջուր,пиво,Уроки 1-5,LL-Q8785_(hye)-Vahagn_Petrosyan-գարեջուր.wav.ogg,
ջնջել,"стереть, удалить",Уроки 1-5,,
ջինջ,"чистый, ясный",Уроки 1-5,,
փյունիկ,феникс,Уроки 1-5,,
փայտ,дрова,Уроки 1-5,,
փերի,фея,Уроки 1-5,,
փետուր,перо,Уроки 1-5,,
եփել,варить,Уроки 1-5,LL-Q8785_(hye)-Vahagn_Petrosyan-եփել.wav.ogg,
թափել,"высыпать, вылить",Уроки 1-5,,
փայլփյուն,блестящий,Уроки 1-5,,
խոտ,трава,Уроки 1-5,LL-Q8785_(hye)-Vahagn_Petrosyan-խոտ.wav.ogg,
խիտ,густой,Уроки 1-5,,
վախ,страх,Уроки 1-5,LL-Q8785_(hye)-Vahagn_Petrosyan-վախ.wav.ogg,
վախենալ,бояться,Уроки 1-5,,
աղ,соль,Уроки 1-5,,
վաղ,рано,Уроки 1-5,,
վաղը,завтра,Уроки 1-5,LL-Q8785_(hye)-Vahagn_Petrosyan-վաղը.wav.ogg,
ուղեղ,ум,Уроки 1-5,,
սեղան,стол,Уроки 1-5,,
խաղալ,играть,Уроки 1-5,,
խաղող,виноград,Уроки 1-5,,
տեղ,место,Уроки 1-5,,
այստեղ,тут,Уроки 1-5,,
ամեն տեղ,везде,Уроки 1-5,,
եղանակ,погода,Уроки 1-5,,
դեղ,лекарство,Уроки 1-5,,
դեղատուն,аптека,Уроки 1-5,LL-Q8785_(hye)-Vahagn_Petrosyan-դեղատուն.wav.ogg,
տղա,"мальчик, парень",Уроки 1-5,,
աստղ,звезда,Уроки 1-5,,
գիտենալ,знать,Уроки 1-5,,
ունենալ,иметь,Уроки 1-5,,
բայց,но,Уроки 1-5,,
որովհետև,потому что,Уроки 1-5,,
կարող,мочь,Уроки 1-5,,
տեսնել,видеть,Уроки 1-5,,
գյուղ,деревня,Уроки 1-5,,
լուսամուտ,окно,Уроки 1-5,LL-Q8785_(hye)-Vahagn_Petrosyan-լուսամուտ.wav.ogg,
բացվել,открываться,Уроки 1-5,,
տեսարան,вид,Уроки 1-5,,
սիրուն,красивый,Уроки 1-5,,
սարեր,горы,Уроки 1-5,,
հյուր գնալ,пойти в гости,Уроки 1-5,,
ատամ,зуб,Уроки 6-10,,
քայլել,"ходить, гулять",Уроки 6-10,,
խնդրում եմ,пожалуйста (просьба),Уроки 6-10,,
խնդրեմ,пожалуйста (на спасибо),Уроки 6-10,LL-Q8785_(hye)-Yevgenya_Shamshyan_(Vahagn_Petrosyan)-խնդրեմ.wav.ogg,
դեռ ոչ,ещё нет,Уроки 6-10,,
դե,ну,Уроки 6-10,,
հատ,штука,Уроки 6-10,,
մի հատ,"одна штука, за одного (в автобусе)",Уроки 6-10,,
ինչքան,сколько (неисчисляемое),Уроки 6-10,,
կապի մեջ,на связи,Уроки 6-10,,
ամպամած,пасмурный,Уроки 6-10,,
մոխրագույն,серый,Уроки 6-10,LL-Q8785_(hye)-Vahagn_Petrosyan-մոխրագույն.wav.mp3,
մոխիր,пепел,Уроки 6-10,LL-Q8785_(hye)-Vahagn_Petrosyan-մոխիր.wav.ogg,
պլանավորել,планировать,Уроки 6-10,,
կարկանդակ,пирог,Уроки 6-10,,
ցուրտ,холодный,Уроки 6-10,,
խաղ,игра,Уроки 6-10,,
լսել,"слышать, слушать",Уроки 6-10,,
նվագել,играть (на муз. инструменте),Уроки 6-10,,
շուն,собака,Уроки 6-10,,
ոնց միշտ,как всегда,Уроки 6-10,,
ինձ,мне,Уроки 6-10,LL-Q8785_(hye)-Vahagn_Petrosyan-ինձ.wav.ogg,
ուտելիք,еда,Уроки 6-10,LL-Q8785_(hye)-Vahagn_Petrosyan-ուտելիք.wav.ogg,
բրինձ,рис,Уроки 6-10,,
ապուր,суп,Уроки 6-10,,
հյութ,сок,Уроки 6-10,,
հնդկաձավար,гречка,Уроки 6-10,,
աղցան,салат,Уроки 6-10,,
ձվածեղ,омлет,Уроки 6-10,,
գնել,купить,Уроки 6-10,LL-Q8785_(hye)-Vahagn_Petrosyan-գնել.wav.ogg,
վճարել,платить,Уроки 6-10,,
քարտով,картой (платить),Уроки 6-10,,
կանխիկ,наличные,Уроки 6-10,,
փող,деньги,Уроки 6-10,,
ի՞նչ արժի,сколько стоит?,Уроки 6-10,,
ինչքա՞ն եմ վճարում,сколько должен?,Уроки 6-10,,
իհարկե,конечно,Уроки 6-10,,
համ,вкус,Уроки 6-10,,
համով է,вкусный,Уроки 6-10,,
էլի՞ ինչ-որ բան,ещё что-нибудь?,Уроки 6-10,,
թարմ,свежий,Уроки 6-10,,
վերջ,всё / конец,Уроки 6-10,,
մանրը,сдача,Уроки 6-10,,
շնորհակալություն,спасибо,Уроки 6-10,,
գնորդ,покупатель,Уроки 6-10,,
գալ,прийти,Уроки 6-10,,
եկել,пришёл,Уроки 6-10,,
կերել,поел,Уроки 6-10,,
տալ,давать,Уроки 6-10,,
տվել,дал,Уроки 6-10,,
տեսել,увидел,Уроки 6-10,,
դրել,"положить, приложить",Уроки 6-10,,
տանել,нести,Уроки 6-10,,
տարել,отнёс,Уроки 6-10,,
անել,делать,Уроки 6-10,,
արել,сделал,Уроки 6-10,,
արդեն,уже,Уроки 6-10,,
ձմռանը,зимой,Уроки 6-10,,
տոնել,праздновать,Уроки 6-10,,
գրել,писать,Уроки 6-10,,
նկարել,рисовать / фотографировать / снимать,Уроки 6-10,,
երգ,песня,Уроки 6-10,,
երգ լսել,слушать музыку/песню,Уроки 6-10,,
աշխատել,работать,Уроки 6-10,,
նվագել,играть на муз. инструменте,Уроки 6-10,,
գիրք,книга,Уроки 6-10,,
երաժիշտ,музыкант,Уроки 6-10,,
կիթառ,гитара,Уроки 6-10,LL-Q8785_(hye)-Vahagn_Petrosyan-կիթառ.wav.ogg,
այգի,парк,Уроки 6-10,LL-Q8785_(hye)-Vahagn_Petrosyan-այգի.wav.ogg,
հեռախոս,телефон,Уроки 6-10,LL-Q8785_(hye)-Vahagn_Petrosyan-հեռախոս.wav.ogg,
ուսուցիչ,учитель,Уроки 6-10,LL-Q8785_(hye)-Vahagn_Petrosyan-ուսուցիչ.wav.ogg,
գրող,писатель,Уроки 6-10,LL-Q8785_(hye)-Vahagn_Petrosyan-գրող.wav.ogg,
դերասան,актёр,Уроки 6-10,,
բժիշկ,врач,Уроки 6-10,,
հիվանդանոց,больница,Уроки 6-10,LL-Q8785_(hye)-Vahagn_Petrosyan-հիվանդանոց.wav.ogg,
նկարիչ,художник,Уроки 6-10,,
դեռ,ещё (пока что),Уроки 6-10,,
համերգ,концерт,Уроки 6-10,,
ինձ հետ,со мной,Уроки 6-10,,
սիրով,с удовольствием,Уроки 6-10,,
հրապարակ,площадь,Уроки 6-10,,
միասին,вместе,Уроки 6-10,,
ջութակ,скрипка,Уроки 6-10,,
վերելակ,лифт,Уроки 6-10,,
անձրև,дождь,Уроки 6-10,,
սառը,прохладный,Уроки 6-10,,
հավես չունեմ ,нет желания,Уроки 6-10,,
տրամադրություն չունեմ,нет настроения,Уроки 6-10,,
ոչ մի տեղ,нигде,Уроки 6-10,,
ոչ մի բան,ничего,Уроки 6-10,,
պառկել,"лежать, ложиться",Уроки 6-10,,
մտածել,думать,Уроки 6-10,,
երեկ,вчера,Уроки 6-10,LL-Q8785_(hye)-Vahagn_Petrosyan-երեկ.wav.ogg,
եթե,если,Уроки 6-10,,
օֆիս,офис,Уроки 6-10,,
համար,для (послелог),Уроки 6-10,,
մեր,наш,Уроки 6-10,,
քո,твой,Уроки 6-10,,
ձեր,ваш,Уроки 6-10,,
նրա,(чей?) его,Уроки 6-10,,
նրանց,(чей/кого/кому?) их/им,Уроки 6-10,,
քեզ,тебя/тебе,Уроки 6-10,,
նրան,его/ему,Уроки 6-10,,
մեզ,нас/нам,Уроки 6-10,,
ձեզ,вас/вам,Уроки 6-10,,
սև,чёрный,Уроки 11-15,,
սպիտակ,белый,Уроки 11-15,,
կանաչ,зелёный,Уроки 11-15,,
դեղին,жёлтый,Уроки 11-15,,
կապույտ,синий,Уроки 11-15,LL-Q8785_(hye)-Vahagn_Petrosyan-կապույտ.wav.ogg,
կարմիր,красный,Уроки 11-15,LL-Q8785_(hye)-Vahagn_Petrosyan-կարմիր.wav.ogg,
նարնջագույն,оранжевый,Уроки 11-15,LL-Q8785_(hye)-Vahagn_Petrosyan-նարնջագույն.wav.ogg,
վարդագույն,розовый,Уроки 11-15,LL-Q8785_(hye)-Vahagn_Petrosyan-վարդագույն.wav.mp3,
մանուշակագույն,фиолетовый,Уроки 11-15,,
շագանակագույն,коричневый,Уроки 11-15,LL-Q8785_(hye)-Vahagn_Petrosyan-շագանակագույն.wav.ogg,
երկնագույն,голубой,Уроки 11-15,,
նարինջ,апельсин,Уроки 11-15,LL-Q8785_(hye)-Vahagn_Petrosyan-նարինջ.wav.ogg,
վարդ,роза,Уроки 11-15,,
մանուշակ,фиалка,Уроки 11-15,LL-Q8785_(hye)-Vahagn_Petrosyan-մանուշակ.wav.ogg,
շագանակ,каштан,Уроки 11-15,,
երկինք,небо,Уроки 11-15,,
արծաթ,серебро,Уроки 11-15,,
արծաթագույն,цвет серебра,Уроки 11-15,,
ոսկի,золото ,Уроки 11-15,,
ոսկեգույն ,золотой/золотистый ,Уроки 11-15,,
ասել,сказать,Уроки 11-15,,
մնացածը,остальное,Уроки 11-15,,
հենց նոր,только что,Уроки 11-15,,
ինչ,что,Уроки 11-15,,
ինչու,почему,Уроки 11-15,,
թանգարան,музей,Уроки 11-15,LL-Q8785_(hye)-Vahagn_Petrosyan-թանգարան.wav.ogg,
մութ,тёмный,Уроки 11-15,,
գազար,морковь,Уроки 11-15,LL-Q8785_(hye)-Vahagn_Petrosyan-գազար.wav.ogg,
մարդ,человек,Уроки 11-15,,
ծիածան,радуга,Уроки 11-15,,
ընթրել,ужинать,Уроки 11-15,,
հաց,хлеб,Уроки 11-15,,
լոլիկ,помидор,Уроки 11-15,LL-Q8785_(hye)-Vahagn_Petrosyan-լոլիկ.wav.ogg,
բանջարեղեն,овощи,Уроки 11-15,,
միրգ,фрукт,Уроки 11-15,,
երշիկ,колбаса,Уроки 11-15,LL-Q8785_(hye)-Vahagn_Petrosyan-երշիկ.wav.ogg,
նրբերշիկ,сосиска,Уроки 11-15,,
թթվասեր,сметана,Уроки 11-15,,
օղի,водка,Уроки 11-15,LL-Q8785_(hye)-Vahagn_Petrosyan-օղի.wav.ogg,
շաքար,сахар,Уроки 11-15,LL-Q8785_(hye)-Vahagn_Petrosyan-շաքար.wav.ogg,
միշտ,всегда,Уроки 11-15,LL-Q8785_(hye)-Vahagn_Petrosyan-միշտ.wav.ogg,
երբ,когда,Уроки 11-15,,
ամիս,месяц,Уроки 11-15,,
ծառ,дерево,Уроки 11-15,,
ծնունդ,рождение,Уроки 11-15,LL-Q8785_(hye)-Vahagn_Petrosyan-ծնունդ.wav.ogg,
տոն,праздник,Уроки 11-15,,
ընթրիք,ужин,Уроки 11-15,LL-Q8785_(hye)-Yevgenya_Shamshyan_(Vahagn_Petrosyan)-ընթրիք.wav.ogg,
մեկ-մեկ,иногда,Уроки 11-15,,
քաղաք,город,Уроки 11-15,,
շիլա,каша,Уроки 11-15,,
աստիճան,"лестница, градус",Уроки 11-15,,
հավ,курица,Уроки 11-15,,
մեքենա,машина,Уроки 11-15,LL-Q8785_(hye)-Vahagn_Petrosyan-մեքենա.wav.ogg,
ինչ-որ բան,что-нибудь,Уроки 11-15,,
չաղ,"толстый, тучный",Уроки 11-15,,
արջ,медведь,Уроки 11-15,,
հիվանդ,больной,Уроки 11-15,LL-Q8785_(hye)-Vahagn_Petrosyan-հիվանդ.wav.ogg,
մայրաքաղաք,столица,Уроки 11-15,LL-Q8785_(hye)-Vahagn_Petrosyan-մայրաքաղաք.wav.ogg,
ո՞վ է,кто это?,Уроки 11-15,,
ու՞մ եք ուզում,кого спрашиваете?,Уроки 11-15,,
սխալ եք զանգել,вы ошиблись номером,Уроки 11-15,,
ճիշտ է,"верно, точно",Уроки 11-15,,
հարմար,"удобный, подходящий",Уроки 11-15,,
հարմար չէ,не удобно (говорить),Уроки 11-15,,
կզանգեմ,позвоню,Уроки 11-15,,
կխոսենք,поговорим (ещё),Уроки 11-15,,
լու՞րջ,серьёзно?,Уроки 11-15,,
չի լսվում,не слышно,Уроки 11-15,,
եղավ,понятно,Уроки 11-15,,
"դե լավ, կապի մեջ","ладно, на связи",Уроки 11-15,,
շուտ լավացիր,поскорее поправляйся,Уроки 11-15,,
սենյակ,комната,Уроки 11-15,LL-Q8785_(hye)-Vahagn_Petrosyan-սենյակ.wav.ogg,
սպասել,ждать,Уроки 11-15,,
կազմել,составить,Уроки 11-15,,
ցուցակ,список,Уроки 11-15,,
առաջին,"первый, сначала",Уроки 11-15,,
կաթնամթերք,молочные продукты,Уроки 11-15,,
մթերք,продукты,Уроки 11-15,,
ծովամթերք,морепродукты,Уроки 11-15,,
մսամթերք,мясные продукты,Уроки 11-15,,
ծով,море,Уроки 11-15,,
խոզ,свинья,Уроки 11-15,LL-Q8785_(hye)-Vahagn_Petrosyan-խոզ.wav.mp3,
կաթնաշոռ,творог,Уроки 11-15,,
հասցեն,адрес,Уроки 11-15,,
փողոց,улица,Уроки 11-15,,
առանց,без,Уроки 11-15,,
պատմություն,"история, рассказ",Уроки 11-15,LL-Q8785_(hye)-Vahagn_Petrosyan-պատմություն.wav.ogg,
պատ,стена,Уроки 11-15,,
պատմել,рассказывать,Уроки 11-15,,
մոտենալ,"давать, отдать",Уроки 11-15,,
հավատալ,верить,Уроки 11-15,LL-Q8785_(hye)-Vahagn_Petrosyan-հավատալ.wav.mp3,
մասին,"о, про",Уроки 11-15,,
ամառ,лето,Уроки 11-15,,
ժամացույց,часы,Уроки 11-15,,
ընկերուհի,"подруга, девушка",Уроки 11-15,,
ընկեր,"друг, парень",Уроки 11-15,,
բոլոր,все,Уроки 11-15,,
վաճառող,продавец,Уроки 11-15,,
օգնել,помогать,Уроки 11-15,,
երևի,"видимо, должно быть",Уроки 11-15,LL-Q8785_(hye)-Emptyfear-երևի.wav.ogg,
բառ,слово,Уроки 16-20,,
կտեսնեմ,увижу,Уроки 16-20,,
թարգմանել,переводить,Уроки 16-20,LL-Q8785_(hye)-Vahagn_Petrosyan-թարգմանել.wav.ogg,
ուշանալ,опаздывать,Уроки 16-20,,
այնտեղ,там,Уроки 16-20,,
խորոված,шашлык,Уроки 16-20,,
լողանալ,купаться,Уроки 16-20,,
լվացվել,умываться,Уроки 16-20,,
համալսարան,университет,Уроки 16-20,LL-Q8785_(hye)-Vahagn_Petrosyan-համալսարան.wav.ogg,
զբոսնել,гулять,Уроки 16-20,,
ընտանիք,семья,Уроки 16-20,,
ստուգել,проверять,Уроки 16-20,,
խումբ,группа,Уроки 16-20,,
բլիթներ,"блины, пончики",Уроки 16-20,,
առողջություն,здоровье,Уроки 16-20,,
ուշադիր,внимательно,Уроки 16-20,,
սիրտ,сердце,Уроки 16-20,,
